country,study_type,phase,study_count,mean_sites,median_sites,p90_sites,absolute_max_sites
Afghanistan,EXPANDED_ACCESS,NA,2,1.5,1.5,1.9,2
Afghanistan,INTERVENTIONAL,NA,13,1.23,1,1.8,3
Afghanistan,INTERVENTIONAL,PHASE2,1,1,1,1,1
Afghanistan,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Afghanistan,INTERVENTIONAL,PHASE3,2,3,3,3.8,4
Afghanistan,INTERVENTIONAL,PHASE4,5,2,2,3,3
Afghanistan,OBSERVATIONAL,NA,9,1.78,1,4,4
Aland Islands,INTERVENTIONAL,NA,1,1,1,1,1
Albania,EXPANDED_ACCESS,NA,1,1,1,1,1
Albania,INTERVENTIONAL,NA,13,1.15,1,1.8,2
Albania,INTERVENTIONAL,PHASE1,1,1,1,1,1
Albania,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
Albania,INTERVENTIONAL,PHASE2,2,2,2,2.8,3
Albania,INTERVENTIONAL,PHASE3,14,1.86,1,2,10
Albania,INTERVENTIONAL,PHASE4,4,1,1,1,1
Albania,OBSERVATIONAL,NA,29,1.69,1,2.2,14
Algeria,INTERVENTIONAL,NA,6,2.17,1,4.5,8
Algeria,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Algeria,INTERVENTIONAL,PHASE2,6,1.67,1.5,2.5,3
Algeria,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Algeria,INTERVENTIONAL,PHASE3,37,2.78,3,4,6
Algeria,INTERVENTIONAL,PHASE4,11,3.64,2,6,14
Algeria,OBSERVATIONAL,NA,54,3.83,1,6.7,37
American Samoa,INTERVENTIONAL,EARLY_PHASE1,1,3,3,3,3
American Samoa,INTERVENTIONAL,NA,3,1.33,1,1.8,2
American Samoa,INTERVENTIONAL,PHASE1,1,2,2,2,2
American Samoa,INTERVENTIONAL,PHASE2,1,1,1,1,1
American Samoa,INTERVENTIONAL,PHASE3,1,1,1,1,1
American Samoa,OBSERVATIONAL,NA,2,1.5,1.5,1.9,2
Andorra,INTERVENTIONAL,NA,5,1,1,1,1
Andorra,INTERVENTIONAL,PHASE3,3,1,1,1,1
Andorra,INTERVENTIONAL,PHASE4,1,1,1,1,1
Andorra,OBSERVATIONAL,NA,1,1,1,1,1
Angola,INTERVENTIONAL,NA,3,1.33,1,1.8,2
Angola,INTERVENTIONAL,PHASE1/PHASE2,2,1,1,1,1
Angola,INTERVENTIONAL,PHASE2,2,1,1,1,1
Angola,INTERVENTIONAL,PHASE3,1,1,1,1,1
Angola,INTERVENTIONAL,PHASE4,2,1,1,1,1
Angola,OBSERVATIONAL,NA,1,1,1,1,1
Antarctica,INTERVENTIONAL,NA,2,1,1,1,1
Antigua and Barbuda,INTERVENTIONAL,PHASE1,31,1,1,1,1
Antigua and Barbuda,OBSERVATIONAL,NA,1,1,1,1,1
Argentina,EXPANDED_ACCESS,NA,9,3.67,3,7.4,9
Argentina,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Argentina,INTERVENTIONAL,NA,271,1.9,1,4,27
Argentina,INTERVENTIONAL,NA,1,1,1,1,1
Argentina,INTERVENTIONAL,PHASE1,68,1.96,1,4,8
Argentina,INTERVENTIONAL,PHASE1/PHASE2,64,2.86,2,6,11
Argentina,INTERVENTIONAL,PHASE2,768,4.79,4,10,32
Argentina,INTERVENTIONAL,PHASE2/PHASE3,130,4.46,3,10,23
Argentina,INTERVENTIONAL,PHASE3,2446,6.75,5,13,71
Argentina,INTERVENTIONAL,PHASE4,252,4.81,3,9.9,55
Argentina,OBSERVATIONAL,NA,581,2.83,1,6,154
Armenia,INTERVENTIONAL,EARLY_PHASE1,2,1,1,1,1
Armenia,INTERVENTIONAL,NA,36,1.25,1,2,4
Armenia,INTERVENTIONAL,PHASE1,9,2.11,1,4,4
Armenia,INTERVENTIONAL,PHASE1/PHASE2,4,1.25,1,1.7,2
Armenia,INTERVENTIONAL,PHASE2,16,1.38,1,2.5,4
Armenia,INTERVENTIONAL,PHASE3,21,2.05,1,4,6
Armenia,INTERVENTIONAL,PHASE4,12,1.33,1,1.9,4
Armenia,OBSERVATIONAL,NA,27,2,1,4.2,13
Aruba,OBSERVATIONAL,NA,1,1,1,1,1
Australia,EXPANDED_ACCESS,NA,32,6.16,3,19.5,25
Australia,INTERVENTIONAL,EARLY_PHASE1,52,1.56,1,3,5
Australia,INTERVENTIONAL,NA,1340,2.55,1,5,33
Australia,INTERVENTIONAL,PHASE1,1782,2.17,1,4,15
Australia,INTERVENTIONAL,PHASE1/PHASE2,750,2.96,2,6,15
Australia,INTERVENTIONAL,PHASE2,2285,4,3,8,26
Australia,INTERVENTIONAL,PHASE2/PHASE3,298,4.12,3,8,40
Australia,INTERVENTIONAL,PHASE3,3905,5.98,5,12,59
Australia,INTERVENTIONAL,PHASE4,489,4.39,2,10,51
Australia,OBSERVATIONAL,NA,988,2.9,1,7,56
Austria,EXPANDED_ACCESS,NA,20,3.75,3.5,6.1,9
Austria,INTERVENTIONAL,EARLY_PHASE1,13,1,1,1,1
Austria,INTERVENTIONAL,NA,1477,1.38,1,2,54
Austria,INTERVENTIONAL,PHASE1,242,1.38,1,2,7
Austria,INTERVENTIONAL,PHASE1/PHASE2,137,1.96,1,3,12
Austria,INTERVENTIONAL,PHASE2,1026,2.22,1,4,19
Austria,INTERVENTIONAL,PHASE2/PHASE3,147,2.14,1,4,10
Austria,INTERVENTIONAL,PHASE3,2339,3.23,2,6,62
Austria,INTERVENTIONAL,PHASE4,483,2.05,1,4,21
